Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
243,seize the opportunity,"When the job offer came in, I knew I had to seize the opportunity and apply right away.",لوہا گرم ہے تو ہاتھ مار,جب نوکری کی پیشکش آئی تو میں نے سوچا کہ لوہا گرم ہے تو ہاتھ مار اور فوراً درخواست دے دی۔,"جب نوکری کی پیشکش آئی تو میں نے سمجھا کہ یہ ایک اچھا موقع ہے، اس لیے فوراً درخواست دے دی۔",جب نوکری کی پیشکش آئی تو میں نے سوچا کہ مجھے موقع کو پکڑنا ہے اور فوراً درخواست دے دی۔,loha garam hai to haath maar,Jab naukri ki peshkash aayi to maine socha ke loha garam hai to haath maar aur foran darkhwast de di.,"Jab naukri ki peshkash aayi to maine samjha ke yeh aik acha mauqa hai, is liye foran darkhwast de di.",Jab naukri ki peshkash aayi to maine socha ke mujhe mauqa pakarna hai aur foran darkhwast de di.
244,set the pace,"In the meeting, Sarah was able to set the pace for the discussion, ensuring everyone had a chance to contribute.",راستہ دکھانا,"میٹنگ میں، سارہ نے بحث کے لیے راستہ دکھایا تاکہ ہر کسی کو حصہ لینے کا موقع ملے۔","میٹنگ میں، سارہ نے بحث کی رفتار اور انداز طے کیا تاکہ سب کو بولنے کا موقع ملے۔","میٹنگ میں، سارہ نے بحث کی رفتار مقرر کی تاکہ سب کو حصہ لینے کا موقع ملے۔",Rasta dikhana,"Meeting mein, Sarah ne behas ke liye Rasta dikhaya taake har kisi ko hissa lene ka mauqa mile.","Meeting mein, Sarah ne behas ki raftar aur andaaz tay kiya taake sab ko bolne ka mauqa mile.","Meeting mein, Sarah ne behas ki raftar muqarrar ki taake sab ko hissa lene ka mauqa mile."
245,set the scene,"Before we begin the presentation, let me set the scene for you with some background information.",بات کا پسِ منظر بیان کرنا,"پیشکش شروع کرنے سے پہلے، میں آپ کے لیے کچھ پس منظر کی معلومات کے ساتھ بات کا پسِ منظر بیان کرنا چاہوں گا۔","پیشکش شروع کرنے سے پہلے، میں آپ کو پس منظر کی معلومات دے کر صورتحال کی وضاحت کرنا چاہوں گا۔","پیشکش شروع کرنے سے پہلے، میں آپ کے لیے منظر ترتیب دینا چاہوں گا۔",baat ka pas-e-manzar bayan karna,"Peshkash shuru karne se pehle, main aap ke liye kuch pas manzar ki maloomat ke sath baat ka pas-e-manzar bayan karna chahta hoon.","Peshkash shuru karne se pehle, main aap ko pas manzar ki maloomat de kar soorat-e-haal ki wazahat karna chahta hoon.","Peshkash shuru karne se pehle, main aap ke liye manzar tarteeb dena chahta hoon."
246,settle a score,"After years of rivalry, he finally decided to settle a score with his old friend.",اینٹ کا جواب پتھر سے دینا,"سالوں کی دشمنی کے بعد، اُس نے آخرکار اپنے پرانے دوست سے اینٹ کا جواب پتھر سے دینے کا فیصلہ کیا۔","سالوں کی دشمنی کے بعد، اُس نے آخرکار اپنے پرانے دوست سے بدلہ لینے کا فیصلہ کیا۔","سالوں کی دشمنی کے بعد، اُس نے آخرکار اپنے پرانے دوست کے ساتھ حساب برابر کرنے کا فیصلہ کیا۔",Eent ka jawab pathar se dena,"Saalon ki dushmani ke baad, us ne aakhirkaar apne purane dost se Eent ka jawab pathar se dene ka faisla kiya.","Saalon ki dushmani ke baad, us ne aakhirkaar apne purane dost se badla lene ka faisla kiya.","Saalon ki dushmani ke baad, us ne aakhirkaar apne purane dost ke saath hisaab barabar karne ka faisla kiya."
247,shoot the breeze,"After a long week at work, I just want to sit on the porch and shoot the breeze with my friends.",گپ شپ کرنا,"کام کے لمبے ہفتے کے بعد، میں صرف برآمدے میں بیٹھ کر اپنے دوستوں کے ساتھ گپ شپ کرنا چاہتا ہوں۔","کام کے مصروف ہفتے کے بعد، میں صرف برآمدے میں بیٹھ کر اپنے دوستوں سے آرام دہ گفتگو کرنا چاہتا ہوں۔","کام کے لمبے ہفتے کے بعد، میں صرف برآمدے میں بیٹھ کر اپنے دوستوں کے ساتھ ہوا پر گولی چلانا چاہتا ہوں۔",gup shup karna,"Kaam ke lambe hafte ke baad, main sirf baramday mein baith kar apne doston ke saath gup shup karna chahta hoon.","Kaam ke masroof hafte ke baad, main sirf baramday mein baith kar apne doston se aaram deh guftagu karna chahta hoon.","Kaam ke lambe hafte ke baad, main sirf baramday mein baith kar apne doston ke saath hawa par goli chalana chahta hoon."
248,show the flag,"During the debate, she decided to **show the flag** and express her true beliefs.",اپنا رنگ دکھانا,"مباحثے کے دوران، اس نے فیصلہ کیا کہ وہ اپنا رنگ دکھائے گی اور اپنے حقیقی عقائد کا اظہار کرے گی۔","مباحثے کے دوران، اس نے فیصلہ کیا کہ وہ اپنے خیالات واضح طور پر بیان کرے گی اور ان کا دفاع کرے گی۔","مباحثے کے دوران، اس نے فیصلہ کیا کہ وہ جھنڈا دکھائے گی اور اپنے حقیقی عقائد کا اظہار کرے گی۔",Apna rang dikhana,"Mubahise ke dauran, us ne faisla kiya ke woh apna rang dikhaye gi aur apne haqiqi aqaid ka izhar kare gi.","Mubahise ke dauran, us ne faisla kiya ke woh apne khayalat wazeh tor par bayan kare gi aur unka difa kare gi.","Mubahise ke dauran, us ne faisla kiya ke woh jhanda dikhaye gi aur apne haqiqi aqaid ka izhar kare gi."
249,shut your trap,I wish he would just shut his trap for once and let others speak.,زبان کو لگام دو,کاش وہ ایک بار اپنی زبان کو لگام دو اور دوسروں کو بولنے دے۔,کاش وہ ایک بار خاموش ہو جائے اور دوسروں کو بولنے کا موقع دے۔,کاش وہ ایک بار اپنا پھندا بند کرے اور دوسروں کو بولنے دے۔,Zaban ko lagam dou,Kaash woh aik baar apni Zaban ko lagam dou aur doosron ko bolne de.,Kaash woh aik baar khamosh ho jaye aur doosron ko bolne ka mauqa de.,Kaash woh aik baar apna phanda band kare aur doosron ko bolne de.
250,sit on the fence,"When it comes to the debate about climate change, many politicians choose to sit on the fence instead of taking a clear stance.",دو کشتیوں پر پاؤں رکھنا,جب ماحولیاتی تبدیلی کے مباحثے کی بات آتی ہے تو بہت سے سیاست دان واضح مؤقف اختیار کرنے کے بجائے دو کشتیوں پر پاؤں رکھتے ہیں۔,جب ماحولیاتی تبدیلی کے مباحثے کی بات آتی ہے تو بہت سے سیاست دان کسی ایک طرف کا ساتھ دینے کے بجائے غیر جانبدار رہنا پسند کرتے ہیں۔,جب ماحولیاتی تبدیلی کے مباحثے کی بات آتی ہے تو بہت سے سیاست دان باڑ پر بیٹھنے کا انتخاب کرتے ہیں بجائے اس کے کہ کوئی واضح مؤقف اختیار کریں۔,Do kashtiyon par paaon rakhna,Jab maholiyati tabdeeli ke mubahise ki baat aati hai to bohat se siyasatdan wazeh moqaf ikhtiyar karne ke bajaye Do kashtiyon par paaon rakhte hain.,Jab maholiyati tabdeeli ke mubahise ki baat aati hai to bohat se siyasatdan kisi aik taraf ka saath dene ke bajaye ghair janibdaar rehna pasand karte hain.,Jab maholiyati tabdeeli ke mubahise ki baat aati hai to bohat se siyasatdan baar par baithne ka intikhab karte hain bajaye is ke ke koi wazeh moqaf ikhtiyar karein.
251,skate on thin ice,"If you keep making risky investments, you're really skating on thin ice.",آگ سے کھیلنا,اگر تم خطرناک سرمایہ کاری کرتے رہے تو تم واقعی آگ سے کھیل رہے ہو۔,اگر تم خطرناک سرمایہ کاری کرتے رہے تو تم اپنے آپ کو بڑے خطرے میں ڈال رہے ہو۔,اگر تم خطرناک سرمایہ کاری کرتے رہے تو تم واقعی پتلی برف پر پھسل رہے ہو۔,Aag se khelna,Agar tum khatarnak sarmaaya kaari karte rahe to tum waqai Aag se khel rahe ho.,Agar tum khatarnak sarmaaya kaari karte rahe to tum apne aap ko baday khatray mein daal rahe ho.,Agar tum khatarnak sarmaaya kaari karte rahe to tum waqai patli baraf par phisal rahe ho.
252,slip one's mind,I completely forgot to call my friend; it just slipped my mind.,دماغ سے نکل جانا,"میں بالکل اپنے دوست کو فون کرنا بھول گیا، یہ بات میرے دماغ سے نکل گئی۔","میں بالکل اپنے دوست کو فون کرنا بھول گیا، مجھے یاد ہی نہیں رہا۔","میں بالکل اپنے دوست کو فون کرنا بھول گیا، یہ میرے ذہن سے پھسل گیا۔",dimaag se nikal jana,"Main bilkul apne dost ko phone karna bhool gaya, yeh baat mere dimaag se nikal gayi.","Main bilkul apne dost ko phone karna bhool gaya, mujhe yaad hi nahi raha.","Main bilkul apne dost ko phone karna bhool gaya, yeh mere zehan se phisal gaya."
253,smell a rat,"When I saw the strange behavior of my colleague, I began to smell a rat.",دال میں کچھ کالا ہے,جب میں نے اپنے ساتھی کے عجیب رویے کو دیکھا تو مجھے لگا کہ دال میں کچھ کالا ہے۔,جب میں نے اپنے ساتھی کے عجیب رویے کو دیکھا تو مجھے شک ہوا کہ کچھ غلط ہو رہا ہے۔,جب میں نے اپنے ساتھی کے عجیب رویے کو دیکھا تو میں نے چوہے کی بو سونگھنی شروع کی۔,Daal mein kuch kaala hai,Jab maine apne saathi ke ajeeb rawaye ko dekha to mujhe laga ke Daal mein kuch kaala hai.,Jab maine apne saathi ke ajeeb rawaye ko dekha to mujhe shak hua ke kuch ghalat ho raha hai.,Jab maine apne saathi ke ajeeb rawaye ko dekha to maine choohay ki boo soonghni shuru ki.
254,speak your mind,It's important to speak your mind during the meeting to ensure everyone's opinions are heard.,دل کی بات کہو,میٹنگ کے دوران دل کی بات کہو تاکہ سب کی رائے سنی جا سکے۔,میٹنگ کے دوران اپنے خیالات کھل کر بیان کرو تاکہ سب کی رائے سنی جا سکے۔,میٹنگ کے دوران اپنا دماغ بولو تاکہ سب کی رائے سنی جا سکے۔,Dil ki baat kaho,Meeting ke dauran Dil ki baat kaho taake sab ki raaye suni ja sake.,Meeting ke dauran apne khayalat khul kar bayan karo taake sab ki raaye suni ja sake.,Meeting ke dauran apna dimaag bolo taake sab ki raaye suni ja sake.
255,spill the beans,I can't believe she decided to spill the beans about the surprise party!,راز فاش کرنا,مجھے یقین نہیں آتا کہ اُس نے سرپرائز پارٹی کا راز فاش کرنے کا فیصلہ کر لیا!,مجھے یقین نہیں آتا کہ اُس نے سرپرائز پارٹی کے بارے میں سب کو بتانے کا فیصلہ کر لیا!,مجھے یقین نہیں آتا کہ اُس نے سرپرائز پارٹی کی پھلیاں گرا دینے کا فیصلہ کر لیا!,raaz faash karna,Mujhe yaqeen nahi aata ke us ne surprise party ka raaz faash karne ka faisla kar liya!,Mujhe yaqeen nahi aata ke us ne surprise party ke bare mein sab ko batane ka faisla kar liya!,Mujhe yaqeen nahi aata ke us ne surprise party ki phaliyan gira dene ka faisla kar liya!
256,spin a yarn,"During our camping trip, he would always spin a yarn about his adventures at sea.",لمبی لمبی چھوڑنا,"ہماری کیمپنگ کے دوران، وہ ہمیشہ اپنے سمندری کارناموں کے بارے میں لمبی لمبی چھوڑتا تھا۔","ہماری کیمپنگ کے دوران، وہ ہمیشہ اپنے سمندری کارناموں کے بارے میں جھوٹی کہانیاں سناتا تھا۔","ہماری کیمپنگ کے دوران، وہ ہمیشہ سمندری مہمات کے بارے میں دھاگہ کاتتا تھا۔",lambi lambi chhorna,"Hamari camping ke dauran, woh hamesha apne samandari karnamon ke bare mein lambi lambi chhorta tha.","Hamari camping ke dauran, woh hamesha apne samandari karnamon ke bare mein jhooti kahaniyan sunata tha.","Hamari camping ke dauran, woh hamesha samandari mehmaat ke bare mein dhaga kaatta tha."
257,split hairs,Let's not split hairs over the details; we need to focus on the bigger picture.,بال کی کھال اتارنا,آؤ تفصیلات پر بال کی کھال اتارنے کی بجائے بڑے مقصد پر توجہ دیں۔,آؤ معمولی تفصیلات پر بحث کرنے کے بجائے اہم باتوں پر توجہ دیں۔,آؤ تفصیلات پر بالوں کو چیرنے کے بجائے بڑے منظر پر توجہ دیں۔,baal ki khaal utaarna,Aao tafseelaat par baal ki khaal utaarne ki bajaye bare maqsad par tawajju dein.,Aao mamooli tafseelaat par behas karne ke bajaye aham baaton par tawajju dein.,Aao tafseelaat par balon ko cheerne ke bajaye bare manzar par tawajju dein.
258,split the difference,"After some negotiation, we decided to split the difference on the price of the car.",آدھا راستہ چلنا,کچھ گفت و شنید کے بعد ہم نے گاڑی کی قیمت پر آدھا راستہ چلنے کا فیصلہ کیا۔,کچھ بات چیت کے بعد ہم نے گاڑی کی قیمت پر درمیانی رقم پر اتفاق کر لیا۔,کچھ گفت و شنید کے بعد ہم نے فرق کو تقسیم کرنے کا فیصلہ کیا۔,Aadha rasta chalna,Kuch guftagu ke baad hum ne gaari ki qeemat par Aadha rasta chalne ka faisla kiya.,Kuch baat cheet ke baad hum ne gaari ki qeemat par darmiyani raqam par ittefaq kar liya.,Kuch guftagu ke baad hum ne farq ko taqseem karne ka faisla kiya.
259,stand a chance,"With so many talented players on the team, we really stand a chance at winning the championship.",امید کی کرن,"اتنے باصلاحیت کھلاڑیوں کے ساتھ، ہمیں چیمپئن شپ جیتنے کی امید کی کرن نظر آتی ہے۔","اتنے باصلاحیت کھلاڑیوں کے ساتھ، ہمارے پاس چیمپئن شپ جیتنے کا اچھا موقع ہے۔","اتنے باصلاحیت کھلاڑیوں کے ساتھ، ہم واقعی ایک موقع پر کھڑے ہیں کہ چیمپئن شپ جیت سکیں۔",umeed ki kiran,"Itne basalaheyat khilariyon ke saath, humein championship jeetne ki umeed ki kiran nazar aati hai.","Itne basalaheyat khilariyon ke saath, hamare paas championship jeetne ka acha mauqa hai.","Itne basalaheyat khilariyon ke saath, hum waqai ek mauqe par kharay hain ke championship jeet saken."
260,stay the course,"Even when the project faced numerous challenges, we decided to stay the course and see it through to completion.",ڈٹ کر کھڑے رہنا,"جب منصوبے کو بے شمار مشکلات کا سامنا کرنا پڑا، تب بھی ہم نے ڈٹ کر کھڑے رہنے کا فیصلہ کیا اور اسے مکمل کرنے تک جاری رکھا۔","جب منصوبے کو بہت سی مشکلات پیش آئیں، تب بھی ہم نے ہمت نہیں ہاری اور اسے آخر تک مکمل کرنے کا عزم کیا۔","جب منصوبے کو کئی مشکلات کا سامنا کرنا پڑا، ہم نے راستے پر ٹھہرے رہنے کا فیصلہ کیا اور اسے مکمل کرنے کی کوشش کی۔",Datt ka kharre rhena,"Jab mansoobay ko beshumar mushkilat ka samna karna para, tab bhi hum ne Datt ka kharre rhena ka faisla kiya aur use mukammal karne tak jari rakha.","Jab mansoobay ko bohat si mushkilat pesh aain, tab bhi hum ne himmat nahi haari aur use aakhir tak mukammal karne ka azm kiya.","Jab mansoobay ko kai mushkilat ka samna karna para, hum ne raste par thehre rehne ka faisla kiya aur use mukammal karne ki koshish ki."
261,steal someone's thunder,"When Jane presented her project first, she really stole my thunder.",میرا رنگ پھیکا کر دیا,جب جین نے اپنا منصوبہ پہلے پیش کیا تو اس نے میرا رنگ پھیکا کر دیا۔,جب جین نے اپنا منصوبہ پہلے پیش کیا تو اس نے میری محنت کی چمک ختم کر دی۔,جب جین نے اپنا منصوبہ پہلے پیش کیا تو اس نے میری گرج چرا لی۔,mera rang pheeka kar diya,Jab Jane ne apna mansooba pehle paish kiya to us ne mera rang pheeka kar diya.,Jab Jane ne apna mansooba pehle paish kiya to us ne meri mehnat ki chamak khatam kar di.,Jab Jane ne apna mansooba pehle paish kiya to us ne meri garaj chura li.
262,to stick one's neck out,"I decided to stick my neck out and invest in the new startup, even though it seemed risky.",جان ہتھیلی پر رکھنا,"میں نے فیصلہ کیا کہ نئی اسٹارٹ اپ میں سرمایہ کاری کر کے جان ہتھیلی پر رکھوں، حالانکہ یہ خطرناک لگ رہا تھا۔","میں نے فیصلہ کیا کہ نئی اسٹارٹ اپ میں سرمایہ کاری کر کے بڑا خطرہ مول لوں، حالانکہ یہ کافی خطرناک لگ رہا تھا۔","میں نے فیصلہ کیا کہ اپنی گردن باہر نکالوں اور نئی اسٹارٹ اپ میں سرمایہ کاری کروں، حالانکہ یہ خطرناک لگ رہا تھا۔",jaan hathaili par rakhna,"Maine faisla kiya ke nai startup mein sarmaya kaari kar ke jaan hathaili par rakhun, halanke yeh khatarnaak lag raha tha.","Maine faisla kiya ke nai startup mein sarmaya kaari kar ke bara khatra mol lun, halanke yeh kaafi khatarnaak lag raha tha.","Maine faisla kiya ke apni gardan bahar nikaalun aur nai startup mein sarmaya kaari karun, halanke yeh khatarnaak lag raha tha."
263,stir the blood,The thrilling news about the upcoming concert really stirred the blood of all the fans.,جوش خون میں دوڑ گیا,آنے والے کنسرٹ کی سنسنی خیز خبر سن کر تمام مداحوں کا جوش خون میں دوڑ گیا۔,آنے والے کنسرٹ کی دلچسپ خبر سن کر تمام مداح بہت پرجوش اور بے تاب ہو گئے۔,آنے والے کنسرٹ کی سنسنی خیز خبر نے تمام مداحوں کے خون کو ہلا دیا۔,josh khoon mein daur gaya,Aane wale concert ki sansani khez khabar sun kar tamaam madahoon ka josh khoon mein daur gaya.,Aane wale concert ki dilchasp khabar sun kar tamaam madah bohat purjosh aur betaab ho gaye.,Aane wale concert ki sansani khez khabar ne tamaam madahoon ke khoon ko hila diya.
264,stretch a point,I had to stretch a point to make my argument more convincing.,لمبی پھینکنا,اپنی دلیل کو زیادہ قائل کن بنانے کے لیے مجھے لمبی پھینکنی پڑی۔,اپنی دلیل کو زیادہ قائل کن بنانے کے لیے مجھے حقیقت کو تھوڑا سا بڑھا چڑھا کر پیش کرنا پڑا۔,اپنی دلیل کو زیادہ قائل کن بنانے کے لیے مجھے ایک نکتہ کھینچنا پڑا۔,Lambi phenkna,Apni daleel ko zyada qail kun bananay ke liye mujhe Lambi phenkni pari.,Apni daleel ko zyada qail kun bananay ke liye mujhe haqeeqat ko thora sa barha charha kar paish karna para.,Apni daleel ko zyada qail kun bananay ke liye mujhe aik nukta khenchna para.
265,strike a bargain,"After hours of negotiation, they finally managed to **strike a bargain** on the new car.",بات طے پانا,"گھنٹوں کی بات چیت کے بعد، وہ آخرکار نئی گاڑی پر بات طے پانے میں کامیاب ہو گئے۔","گھنٹوں کی بات چیت کے بعد، وہ آخرکار نئی گاڑی کی قیمت پر اتفاق کرنے میں کامیاب ہو گئے۔","گھنٹوں کی بات چیت کے بعد، وہ آخرکار نئی گاڑی پر ایک سودے پر ضرب لگانے میں کامیاب ہو گئے۔",baat tay paana,"Ghanton ki baat cheet ke baad, woh aakhirkaar nai gaari par baat tay paane mein kaamyaab ho gaye.","Ghanton ki baat cheet ke baad, woh aakhirkaar nai gaari ki qeemat par ittefaq karne mein kaamyaab ho gaye.","Ghanton ki baat cheet ke baad, woh aakhirkaar nai gaari par aik saude par zarb lagane mein kaamyaab ho gaye."
266,strike a chord,Her story about overcoming challenges really struck a chord with the audience.,دل کو چھو جانا,اس کی مشکلات پر قابو پانے کی کہانی نے سامعین کے دل کو چھو جانا۔,اس کی مشکلات پر قابو پانے کی کہانی نے سامعین پر گہرا اثر چھوڑا۔,اس کی مشکلات پر قابو پانے کی کہانی نے سامعین کے ساتھ ایک تار چھیڑ دی۔,dil ko choo jana,Us ki mushkilat par qaboo pane ki kahani ne samayeen ke dil ko choo jana.,Us ki mushkilat par qaboo pane ki kahani ne samayeen par gehra asar chhoda.,Us ki mushkilat par qaboo pane ki kahani ne samayeen ke sath aik taar chhed di.
267,sugar the pill,"To make the news easier to accept, they decided to sugar the pill with some good news.",کڑوی گولی پر چینی چڑھانا,"خبر کو آسانی سے قبول کروانے کے لیے، انہوں نے کچھ اچھی خبریں شامل کر کے کڑوی گولی پر چینی چڑھانے کا فیصلہ کیا۔","خبر کو آسانی سے قبول کروانے کے لیے، انہوں نے بری خبر کے ساتھ کچھ اچھی خبریں شامل کرنے کا فیصلہ کیا تاکہ سننے والوں کو تکلیف نہ ہو۔","خبر کو آسانی سے قبول کروانے کے لیے، انہوں نے گولی پر چینی لگانے کا فیصلہ کیا۔",karwi goli par cheeni charhana,"Khabar ko aasani se qabool karwane ke liye, unhon ne kuch achi khabrein shamil kar ke karwi goli par cheeni charhane ka faisla kiya.","Khabar ko aasani se qabool karwane ke liye, unhon ne buri khabar ke sath kuch achi khabrein shamil karne ka faisla kiya taake sunne walon ko takleef na ho.","Khabar ko aasani se qabool karwane ke liye, unhon ne goli par cheeni lagane ka faisla kiya."
268,swallow one's pride,"After realizing he was wrong, John decided to swallow his pride and apologize to his friend.",اپنی انا کو ایک طرف رکھنا,"غلطی کا احساس ہونے کے بعد، جان نے اپنی انا کو ایک طرف رکھنا اور اپنے دوست سے معافی مانگنے کا فیصلہ کیا۔","غلطی کا احساس ہونے کے بعد، جان نے شرمندگی کے باوجود اپنے دوست سے معافی مانگنے کا فیصلہ کیا۔","غلطی کا احساس ہونے کے بعد، جان نے اپنی انا نگلنے اور اپنے دوست سے معافی مانگنے کا فیصلہ کیا۔",apni ana ko aik taraf rakhna,"Ghalti ka ehsaas hone ke baad, John ne apni ana ko aik taraf rakhna aur apne dost se maafi maangne ka faisla kiya.","Ghalti ka ehsaas hone ke baad, John ne sharmindagi ke bawajood apne dost se maafi maangne ka faisla kiya.","Ghalti ka ehsaas hone ke baad, John ne apni ana nigalne aur apne dost se maafi maangne ka faisla kiya."
269,sweep the board,"In the last competition, she managed to sweep the board and take home all the trophies.",سب کو مات دینا,"آخری مقابلے میں، اُس نے سب کو مات دی اور تمام ٹرافیاں اپنے گھر لے گئی۔","آخری مقابلے میں، اُس نے تمام انعامات جیتے اور سب سے زیادہ کامیابی حاصل کی۔","آخری مقابلے میں، اُس نے تختہ صاف کیا اور تمام ٹرافیاں گھر لے گئی۔",Sab ko maat dena,"Aakhri muqable mein, us ne Sab ko maat di aur tamaam trophies apne ghar le gayi.","Aakhri muqable mein, us ne tamaam inaamaat jeetay aur sab se zyada kaamiyabi haasil ki.","Aakhri muqable mein, us ne takhta saaf kiya aur tamaam trophies ghar le gayi."
270,swing the lead,I noticed that he tends to swing the lead whenever there's a big project at work.,کام چور بننا,میں نے محسوس کیا کہ وہ جب بھی دفتر میں کوئی بڑا منصوبہ ہوتا ہے تو کام چور بننا شروع کر دیتا ہے۔,میں نے دیکھا کہ جب بھی دفتر میں کوئی بڑا منصوبہ ہوتا ہے تو وہ کام سے جان بوجھ کر بچنے کی کوشش کرتا ہے۔,میں نے دیکھا کہ وہ جب بھی دفتر میں کوئی بڑا منصوبہ ہوتا ہے تو سیسے کو جھولنے لگتا ہے۔,kaam chor banna,Main ne mehsoos kiya ke woh jab bhi daftar mein koi bara mansooba hota hai to kaam chor banna shuru kar deta hai.,Main ne dekha ke jab bhi daftar mein koi bara mansooba hota hai to woh kaam se jaan boojh kar bachne ki koshish karta hai.,Main ne dekha ke woh jab bhi daftar mein koi bara mansooba hota hai to seese ko jhoolne lagta hai.
271,take a spill,"While riding my bike, I lost my balance and took a spill on the sidewalk.",منہ کے بل گرنا,جب میں اپنی سائیکل چلا رہا تھا تو میرا توازن بگڑ گیا اور میں منہ کے بل گر گیا۔,جب میں اپنی سائیکل چلا رہا تھا تو میرا توازن بگڑ گیا اور میں فٹ پاتھ پر گر گیا۔,جب میں اپنی سائیکل چلا رہا تھا تو میرا توازن بگڑ گیا اور میں نے ایک چھینٹا لیا۔,munh ke bal girna,Jab main apni cycle chala raha tha to mera tawazun bigar gaya aur main munh ke bal gir gaya.,Jab main apni cycle chala raha tha to mera tawazun bigar gaya aur main footpath par gir gaya.,Jab main apni cycle chala raha tha to mera tawazun bigar gaya aur main ne aik cheenta liya.
272,take someone to the cleaners,"After the poker game, he really took him to the cleaners.",کنگال کر دینا,"پوکر کے کھیل کے بعد، اس نے واقعی اسے کنگال کر دیا۔","پوکر کے کھیل کے بعد، اس نے واقعی اس کا سارا پیسہ چھین لیا۔","پوکر کے کھیل کے بعد، اس نے واقعی اسے صاف کرنے والوں کے پاس لے گیا۔",kangal kar dena,"Poker ke khel ke baad, us ne waqai usay kangal kar diya.","Poker ke khel ke baad, us ne waqai us ka sara paisa cheen liya.","Poker ke khel ke baad, us ne waqai usay saaf karne walon ke paas le gaya."
273,take the back seat,"During the meeting, I decided to take the back seat and let my colleague lead the discussion.",پیچھے ہٹ جانا,میٹنگ کے دوران میں نے فیصلہ کیا کہ میں پیچھے ہٹ جانا چاہوں گا اور اپنے ساتھی کو گفتگو کی قیادت کرنے دوں۔,میٹنگ کے دوران میں نے فیصلہ کیا کہ میں کم اہم کردار ادا کروں اور اپنے ساتھی کو گفتگو کی قیادت کرنے دوں۔,میٹنگ کے دوران میں نے فیصلہ کیا کہ میں پچھلی سیٹ لے لوں اور اپنے ساتھی کو گفتگو کی قیادت کرنے دوں۔,peeche hat jana,Meeting ke dauran maine faisla kiya ke main peeche hat jana chahta tha aur apne saathi ko guftagu ki qiadat karne doon.,Meeting ke dauran maine faisla kiya ke main kam aham kirdar ada karun aur apne saathi ko guftagu ki qiadat karne doon.,Meeting ke dauran maine faisla kiya ke main pichhli seat le loon aur apne saathi ko guftagu ki qiadat karne doon.
274,take the bait,"She knew it was a trap, but she decided to take the bait anyway.",جال میں پھنسنا,"وہ جانتی تھی کہ یہ ایک جال ہے، لیکن پھر بھی اس نے جال میں پھنسنے کا فیصلہ کیا۔","وہ جانتی تھی کہ یہ ایک فریب ہے، لیکن پھر بھی اس نے ویسا ہی ردِعمل دیا جیسا وہ چاہتے تھے۔","وہ جانتی تھی کہ یہ ایک جال ہے، لیکن پھر بھی اس نے چارہ لینے کا فیصلہ کیا۔",Jaal mein phansna,"Woh jaanti thi ke yeh aik jaal hai, lekin phir bhi us ne Jaal mein phansne ka faisla kiya.","Woh jaanti thi ke yeh aik fareb hai, lekin phir bhi us ne waisa hi rad-e-amal diya jaisa woh chahtay thay.","Woh jaanti thi ke yeh aik jaal hai, lekin phir bhi us ne chaara lene ka faisla kiya."
275,take the bull by the horns,"When faced with the project deadline, Sarah decided to **take the bull by the horns** and start working on it immediately.",خطرے کی آنکھوں میں آنکھیں ڈالنا,جب سارہ کو منصوبے کی آخری تاریخ کا سامنا ہوا تو اُس نے خطرے کی آنکھوں میں آنکھیں ڈالنا طے کیا اور فوراً کام شروع کر دیا۔,جب سارہ کو منصوبے کی آخری تاریخ کا سامنا ہوا تو اُس نے ہمت کے ساتھ مشکل صورتحال کا مقابلہ کیا اور فوراً کام شروع کر دیا۔,جب سارہ کو منصوبے کی آخری تاریخ کا سامنا ہوا تو اُس نے بیل کو سینگوں سے پکڑنے کا فیصلہ کیا اور فوراً کام شروع کر دیا۔,Khatray ki aankhon mein aankhein daalna,Jab Sarah ko mansoobay ki aakhri tareekh ka saamna hua to us ne Khatray ki aankhon mein aankhein daalna tay kiya aur foran kaam shuru kar diya.,Jab Sarah ko mansoobay ki aakhri tareekh ka saamna hua to us ne himmat ke saath mushkil soorat-e-haal ka muqabla kiya aur foran kaam shuru kar diya.,Jab Sarah ko mansoobay ki aakhri tareekh ka saamna hua to us ne bail ko seengon se pakarne ka faisla kiya aur foran kaam shuru kar diya.
276,take the cake,"Out of all the excuses I've heard, that one really takes the cake.",سب پر بازی لے جانا,"جتنے بہانے میں نے سنے ہیں، ان میں سے یہ والا سب پر بازی لے جاتا ہے۔","جتنے بہانے میں نے سنے ہیں، یہ سب سے زیادہ عجیب اور نمایاں ہے۔","جتنے بہانے میں نے سنے ہیں، یہ والا واقعی کیک لے جاتا ہے۔",Sab par baazi le jana,"Jitne bahaane maine sune hain, un mein se yeh wala Sab par baazi le jata hai.","Jitne bahaane maine sune hain, yeh sab se zyada ajeeb aur numaya hai.","Jitne bahaane maine sune hain, yeh wala waqai cake le jata hai."
